timestamp,open,high,low,close,volume
1746144000000,0.705,0.7116,0.7012,0.7106,4762798.6
1746147600000,0.7106,0.7124,0.7051,0.7075,2333042.6
1746151200000,0.7074,0.7198,0.706,0.7194,6843990.6
1746154800000,0.7195,0.7255,0.713,0.7137,8661494.4
1746158400000,0.7137,0.7161,0.7081,0.7106,3005053.3
1746162000000,0.7106,0.7129,0.7081,0.7097,4043507.2
1746165600000,0.7097,0.7145,0.7082,0.7116,2151509.8
1746169200000,0.7116,0.7127,0.7009,0.7009,3846444.0
1746172800000,0.701,0.7055,0.7006,0.7043,2997273.2
1746176400000,0.7043,0.7078,0.703,0.7046,2878388.2
1746180000000,0.7046,0.7083,0.7044,0.7058,2468258.3
1746183600000,0.7058,0.7105,0.7054,0.7057,2475561.1
1746187200000,0.7057,0.7133,0.7029,0.7132,6488334.0
1746190800000,0.7132,0.7157,0.7068,0.7077,4631085.0
1746194400000,0.7078,0.7158,0.7077,0.7144,5882659.4
1746198000000,0.7145,0.7152,0.7043,0.7057,4719013.6
1746201600000,0.7058,0.7142,0.7058,0.7081,3315538.6
1746205200000,0.7082,0.7084,0.7015,0.7023,4571329.8
1746208800000,0.7023,0.7041,0.6968,0.699,5104029.2
1746212400000,0.6989,0.6989,0.689,0.6908,6415985.7
1746216000000,0.6908,0.6966,0.6888,0.6959,4850707.6
1746219600000,0.6959,0.7001,0.692,0.6935,3383131.2
1746223200000,0.6936,0.6953,0.692,0.694,2152029.7
1746226800000,0.694,0.6989,0.6934,0.6981,1636013.3
1746230400000,0.6982,0.699,0.6936,0.695,1901410.4
1746234000000,0.6951,0.6955,0.6917,0.6936,1846491.0
1746237600000,0.6936,0.6988,0.6933,0.698,1128004.8
1746241200000,0.698,0.6997,0.696,0.698,2053131.2
1746244800000,0.6979,0.7021,0.697,0.7015,1433195.0
1746248400000,0.7014,0.7021,0.6987,0.7001,2082341.0
1746252000000,0.7002,0.7002,0.695,0.6971,1844477.7
1746255600000,0.697,0.6996,0.6952,0.6992,1229276.8
1746259200000,0.6992,0.704,0.6964,0.7028,2784826.9
1746262800000,0.7028,0.7039,0.6987,0.7004,2080927.1
1746266400000,0.7003,0.7031,0.6939,0.6948,2379262.6
1746270000000,0.6948,0.6998,0.6941,0.6959,2783909.5
1746273600000,0.6959,0.7035,0.6959,0.7026,3541745.7
1746277200000,0.7026,0.7109,0.7023,0.7108,6124438.3
1746280800000,0.7108,0.7272,0.7105,0.7188,17419328.5
1746284400000,0.7188,0.7297,0.7166,0.7217,27581093.2
1746288000000,0.7217,0.7249,0.7124,0.7176,13372236.2
1746291600000,0.7176,0.7178,0.7037,0.7151,11341802.5
1746295200000,0.7151,0.7214,0.7065,0.7077,4550297.9
1746298800000,0.7077,0.7139,0.7064,0.7132,3059734.8
1746302400000,0.7133,0.715,0.707,0.7078,3121967.2
1746306000000,0.7078,0.7092,0.7022,0.7058,4248113.8
1746309600000,0.7059,0.7076,0.7017,0.7052,3745173.9
1746313200000,0.7052,0.7055,0.6988,0.6995,4010862.1
1746316800000,0.6995,0.7041,0.6935,0.6987,9233755.5
1746320400000,0.6987,0.7084,0.6964,0.7073,5118533.6
1746324000000,0.7073,0.7147,0.7035,0.7055,4316330.0
1746327600000,0.7055,0.7055,0.697,0.6979,4436533.6
1746331200000,0.6979,0.701,0.6935,0.6959,8855802.7
1746334800000,0.696,0.7056,0.6953,0.704,4013733.8
1746338400000,0.7041,0.7064,0.6962,0.7011,3232082.4
1746342000000,0.7012,0.7019,0.6954,0.6987,3065526.8
1746345600000,0.6987,0.699,0.6909,0.6919,4008122.5
1746349200000,0.6919,0.6919,0.6875,0.6894,5086798.5
1746352800000,0.6894,0.6939,0.6871,0.6915,4500755.5
1746356400000,0.6915,0.6924,0.688,0.69,2696178.6
1746360000000,0.6901,0.6928,0.6886,0.6891,2021603.9
1746363600000,0.6892,0.6913,0.6824,0.6851,4688029.6
1746367200000,0.6851,0.6913,0.6845,0.6907,3498204.5
1746370800000,0.6907,0.6938,0.6878,0.6905,3853402.6
1746374400000,0.6904,0.694,0.6834,0.6847,7987845.3
1746378000000,0.6848,0.6873,0.6801,0.6848,5365758.7
1746381600000,0.6848,0.6875,0.6814,0.6829,2666158.7
1746385200000,0.6828,0.6873,0.6809,0.6857,2031283.6
1746388800000,0.6858,0.6898,0.685,0.6884,1468418.4
1746392400000,0.6885,0.6886,0.6833,0.6882,1941236.7
1746396000000,0.6881,0.6881,0.6754,0.6779,11559358.5
1746399600000,0.6778,0.6798,0.6718,0.6762,8184968.1
1746403200000,0.6762,0.6803,0.6736,0.6794,7271894.8
1746406800000,0.6793,0.6797,0.6676,0.6712,7805387.7
1746410400000,0.6712,0.6789,0.6664,0.6764,5685655.6
1746414000000,0.6764,0.6775,0.6726,0.673,1571221.2
1746417600000,0.673,0.6807,0.6725,0.6807,3042237.6
1746421200000,0.6807,0.6897,0.6794,0.6894,3640274.7
1746424800000,0.6895,0.692,0.6863,0.687,3146737.7
1746428400000,0.687,0.6877,0.6835,0.6859,2476587.6
